cluster_label,n_rows,mean_anomaly_score,n_already_rule_flagged,n_unique_texts,n_unique_originators,sender_msgs_last_5min,sender_msgs_last_1hr,sender_unique_destinations_1hr,sender_repeat_content_ratio_1hr,sender_age_days,sender_recipient_diversity_ratio_5min,sender_recipient_diversity_ratio_1hr,sample_texts,fraud_type_label,label_reason
-1,4417,0.0647346295427351,697,3579,520,15.029884537016072,114.62621688929136,2.4935476567806205,0.1151585510553828,0.5532790895236418,0.3242389261320409,0.1687190916277435,"I hope you can cooperate as I urgently need the funds to settle an important payment ||| Yepon pulangkan la duit tu dulu@ ||| Dang ở nhà  dung điện  ||| Cara bayar ||| ‎Join me on WhatsApp! It lets us message privately and share photosI will arrive at Lawrence Freiman Ln, Ottawa around 12:31. I’ll letI will arrive at Lawrence Freiman Ln, Ottawa around 12:31. I’ll let‎Join me on WhatsApp! It lets us message privately and share photosI will arrive at Lawrence Freiman Ln, Ottawa around 12:31. I’ll let‎Join me on WhatsApp! It lets us message privately and share photosI will arrive at Lawrence Freiman Ln, Ottawa around 12:31. I’ll let‎Join me on WhatsApp! It lets us message privately and share photos‎Join me on WhatsApp! It lets us message privately and share photos‎Join me on WhatsApp! It lets us message privately and share photos家长您好，我是PPtutor中文的课程顾问张老师，一直未能联系上您，您这边看到消息，辛苦您添加一下我的企业微信，约一个您当地比较方便的‎Let's have a call on WhatsApp! It lets us make secure video and auI will arrive at Lawrence Freiman Ln, Ottawa around 12:31. I’ll let‎Join me on WhatsApp! It lets us message privately and share photos【汪喵星球】付款提醒， 您的訂單 2213786 尚未付款成功，請至官網訂單查詢即可付款：https://www.dogcatstar‎Join me on WhatsApp! It lets us message privately and share photos【汪喵星球】付款提醒， 您的訂單 2213786 尚未付款成功，請至官網訂單查詢即可付款：https://www.dogcatstar【汪喵星球】付款提醒， 您的訂單 2213786 尚未付款成功，請至官網訂單查詢即可付款：https://www.dogcatstar【汪喵星球】付款提醒， 您的訂單 2213786 尚未付款成功，請至官網訂單查詢即可付款：https://www.dogcatstarSayang, 🪫ttyl love uhttps://maps.apple.com/?q=-31.944655,115.85830‎Let's have a call on WhatsApp! It lets us make secure video and au‎Let's have a call on WhatsApp! It lets us make secure video and au you know if I’m running late. you know if I’m running late. you know if I’m running late.য়ে গেছে ।时间通过一下孩子的数学情况给孩子安排合适的试听课时间通过一下孩子的数学情况给孩子安排合适的试听课 you know if I’m running late. soon. ||| REG-REQ?v=3;t=520EE1A2A98F0A2808B8509344F6B61FD0EE63FDC35B5143FB1630DD96C8B56D;r=1740586606",,
656,296,0.0597696723605069,283,296,5,17.091216216216218,129.21621621621622,4.148648648648648,0.0,0.4743168559184184,0.2981922091239287,0.0811025417308022,2  6  3  7  4  3      caMNcYCt ||| 6  4  3  6     seMJSf ||| 4  4  5  6  6  5      FXecPrLl ||| 2  0  4  1  1  8      DUKdCLOpn ||| 7  9  1  9  0  9     XdcbNPnRp ||| 4  7  3  7  2  5     wPCyTntZ,others,"Claude judgment (read sample texts): Digit-group + random-code structured pattern (e.g. ""2 6 3 7 4 3  caMNcYCt""), all 296 unique but same shape - resembles an OTP-relay/read-back script but too garbled to confirm; high velocity (129/hr) from just 5 senders is itself suspicious."
22,204,0.0575222547965591,0,1,2,7.627450980392157,69.43627450980392,3.0,0.826493014086262,0.2074537604393609,0.4059268594929222,0.0480755459533622,"Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79",spam,"gambling/betting promo keyword (matched 'jackpot'). (originator_ratio=0.01, text_ratio=0.00, sender_msgs_last_1hr=69.4)"
700,160,0.0614347254568322,0,1,18,1.13125,8.84375,0.93125,0.8774503968253968,0.3944449508101851,0.3429166666666666,0.1544577014456561,STATE ||| STATE ||| STATE ||| STATE ||| STATE ||| STATE,others,"Anomalous/repetitive burst shape, but no specific fraud type or recognizable legitimate content identified - genuinely unclassified, not a claim it's clean. Included as its own class (not excluded like not_fraud) since it's still strange behavior worth the classifier learning to recognize. (originator_ratio=0.11, text_ratio=0.01, sender_msgs_last_1hr=8.8)"
723,126,0.0612224457464494,9,123,29,14.095238095238097,140.8095238095238,3.3095238095238093,0.0002235636038452,0.7205854093180483,0.2924789662081424,0.0786329525089252,"Ang nk blik dlu ka ||| Assalammualaikum  ||| Assalammualaikum ||| Yayang gerakan sda ya MISS YOU SOO MUCH YANGG emmuah cemua FII AMANILLAH KESAYANGAN YAYANG ||| okiee take caree yayangg love uu bebii ||| é@ø¿' @Tumhe pata h pahle se kafi time se presaan hi raha hu mai.. Abhi aap pr trust h..  Samajh to aata hai but aapne hi kaha ki link bhejta hu or screen recoré@ø¿' @RM0 Yes: Selamat datang ke Yes! Kami mengesyorkan anda menukar kata laluan di aplikasi MyYes. Utk maklumat lanjut, sila rujuk butiran",others,Claude judgment (read sample texts): Heterogeneous mix of personal Malay/Hindi chat fragments and one legit telecom (Yes) password-change notice - not one coherent pattern.
333,119,0.0751901602617514,0,49,5,1.1680672268907564,4.697478991596639,0.9243697478991596,0.3637049691671541,0.6050317071272954,0.5882352941176471,0.3029427855058108,REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=301327496 ||| REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=1908066934 ||| REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=1136321571 ||| REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=1008783874 ||| REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=364576208 ||| REG-REQ?v=3;t=78BE7087AD076E1AF88FC708DB12A331077ACA99D2163B9D2085FFF96D262F9E;r=1435937911,,"UNRESOLVED, left blank on purpose - structured protocol-looking text (REG-REQ token), unclear if it's even real message content (could be SS7 signaling that leaked into the text field) vs SIM-farming abuse - content-vs-behavior precedence rules don't resolve this, the open question is prior to that. (originator_ratio=0.04, text_ratio=0.41, sender_msgs_last_1hr=4.7)"
276,114,0.069016645235959,0,51,3,1.350877192982456,7.5,0.9824561403508772,0.280938028930737,0.9649580693632228,0.6274853801169591,0.2293905718298743,REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=1877956127 ||| REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=550298399 ||| REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=600746765 ||| REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=1852013716 ||| REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=1016972475 ||| REG-REQ?v=3;t=C753BE6DF7209475BC890BA810F092AA1D3013E39D00D980BE1D0B020E25524D;r=475214109,,"UNRESOLVED, left blank on purpose - structured protocol-looking text (REG-REQ token), unclear if it's even real message content (could be SS7 signaling that leaked into the text field) vs SIM-farming abuse - content-vs-behavior precedence rules don't resolve this, the open question is prior to that. (originator_ratio=0.03, text_ratio=0.45, sender_msgs_last_1hr=7.5)"
123,97,0.0638898803520438,0,44,3,1.5670103092783505,6.783505154639175,0.9381443298969072,0.39384019527059,0.9216433991981672,0.5895189003436426,0.303618000164004,REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=1367459087 ||| REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=1221864196 ||| REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=10506900 ||| REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=1638524942 ||| REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=1427131601 ||| REG-REQ?v=3;t=142FE2CC647F922035DF067A832065FFE3D3FAB8AFDB342F5EE837F1200A3289;r=102888392,,"UNRESOLVED, left blank on purpose - structured protocol-looking text (REG-REQ token), unclear if it's even real message content (could be SS7 signaling that leaked into the text field) vs SIM-farming abuse - content-vs-behavior precedence rules don't resolve this, the open question is prior to that. (originator_ratio=0.03, text_ratio=0.45, sender_msgs_last_1hr=6.8)"
266,94,0.0598360618328889,0,85,85,0.1276595744680851,0.4468085106382978,0.1808510638297872,0.1041033434650455,0.0641639578408195,0.0833333333333333,0.1188956433637284,"C@èòP Ç@Å$ò¿Pè@éòtΛBe,£;rè8($ $éΣ ¡ò$,R¥Σ I/Pè¡ì£@Δ0Φ¡üΓèLòPà ||| C@èòP Ç@Å$ò¿Pè@éòtΛΦsR £Δ@8($ $éΣ ¡@ÇBUHY*E/Pè¡ì£@Δ0Φ¡>åèLòPo ||| C@èòP Ç@Å$ò¿Pè@éòtΛ0_ΦΦ_¥ 8($ $éΣ ¡ò$2""Δwj¿/Pè¡ì£@Δ0Φ¡üΓèLòPà ||| C@èòP Ç@Å$ò¿Pè@éòtΛΓi(""<ΓΔ8($ $éΣ ¡ò$2Ü,ΨBQ/Pè¡ì£@Δ0Φ¡üΓèLòPà ||| C@èòP Ç@Å$ò¿Pè@éòtΛ8rùÖΞèΔ8($ $éΣ ¡ò$2ÜøΔ#U/Pè¡ì£@Δ0Φ¡üΓèLòPà ||| C@èòP Ç@Å$ò¿Pè@éòtTI@¥T_ΨΦ8($ $éΣ ¡ò$2Ü¤wΔI/Pè¡ì£@Δ0Φ¡>åèLòPo",others,"Claude judgment (read sample texts): Garbled/encoded binary-looking payloads, 85 unique originators each sending one unique garbled message, low velocity - likely a decoding/PDU corruption artifact, not confidently a fraud pattern."
34,81,0.0556170269251837,0,1,2,9.037037037037036,136.4320987654321,3.0,0.5919421095602893,0.2805711305441243,0.3459537033611108,0.0224943524279268,"Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79 ||| Tanpa Depo Claim FREE RM69 ! Check ID Anda Sekarang! Lagi Menang Jackpot Rm1,888,888  Enjoy Malaysia Birthday Month Waze2win 103.209.159.79",spam,"gambling/betting promo keyword (matched 'jackpot'). (originator_ratio=0.02, text_ratio=0.01, sender_msgs_last_1hr=136.4)"
112,75,0.0721978292356424,0,26,2,0.9733333333333334,14.013333333333334,0.9866666666666668,0.0959610142528435,0.0918729938271604,0.4933333333333333,0.099495688825814,REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=589577292 ||| REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=313098462 ||| REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=1116246085 ||| REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=472480564 ||| REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=839767255 ||| REG-REQ?v=3;t=CD6277519E313170F46533082C73B7CC6C348F7849E907EE39DD29DB4F4CB234;r=1051247394,,"UNRESOLVED, left blank on purpose - structured protocol-looking text (REG-REQ token), unclear if it's even real message content (could be SS7 signaling that leaked into the text field) vs SIM-farming abuse - content-vs-behavior precedence rules don't resolve this, the open question is prior to that. (originator_ratio=0.03, text_ratio=0.35, sender_msgs_last_1hr=14.0)"
